PATH	BYTES	X-RESOLUTION	Y-RESOLUTION
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-077-bc000.jpg 	 2383120 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-062-tx057.jpg 	 3766232 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-036-tx031.jpg 	 3602296 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-037-tx032.jpg 	 3207300 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-018-tx013.jpg 	 3410595 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-007-tx002.jpg 	 2779563 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-019-tx014.jpg 	 3617597 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-030-tx025.jpg 	 3505290 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-052-tx047.jpg 	 3237728 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-058-tx053.jpg 	 3641807 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-021-tx016.jpg 	 3761141 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-041-tx036.jpg 	 3409452 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-034-tx029.jpg 	 3585539 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-047-tx042.jpg 	 3144780 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-072-tx067.jpg 	 3228810 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-025-tx020.jpg 	 3707064 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-015-tx010.jpg 	 3533944 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-010-tx005.jpg 	 3424747 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-069-tx064.jpg 	 3580261 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-006-ix001.jpg 	 2664104 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-073-im000.jpg 	 2441398 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-033-tx028.jpg 	 3723812 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-050-tx045.jpg 	 3627585 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-022-tx017.jpg 	 3516349 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-029-tx024.jpg 	 3617999 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-067-tx062.jpg 	 3594749 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-026-tx021.jpg 	 3322268 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-002-tp000.jpg 	 2628304 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-001-en000.jpg 	 2666071 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-005-ix000.jpg 	 2964416 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-046-tx041.jpg 	 3531334 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-075-en002.jpg 	 2462595 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-076-en003.jpg 	 2550576 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-065-tx060.jpg 	 3485959 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-028-tx023.jpg 	 3172078 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-043-tx038.jpg 	 3559920 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-049-tx044.jpg 	 3168101 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-045-tx040.jpg 	 3466470 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-027-tx022.jpg 	 3790737 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-064-tx059.jpg 	 3435445 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-011-tx006.jpg 	 3440410 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-009-tx004.jpg 	 3413289 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-012-tx007.jpg 	 3678930 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-020-tx015.jpg 	 3622688 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-042-tx037.jpg 	 3510378 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-066-tx061.jpg 	 3621285 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-063-tx058.jpg 	 3698420 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-061-tx056.jpg 	 3674030 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-055-tx050.jpg 	 3779145 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-057-tx052.jpg 	 3719759 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-014-tx009.jpg 	 3616240 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-016-tx011.jpg 	 3599478 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-004-tx001.jpg 	 3473250 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-040-tx035.jpg 	 3566369 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-032-tx027.jpg 	 3614137 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-008-tx003.jpg 	 3549135 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-000-fc000.jpg 	 4281699 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-038-tx033.jpg 	 3592456 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-035-tx030.jpg 	 3751164 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-070-tx065.jpg 	 3707880 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-031-tx026.jpg 	 3327152 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-017-tx012.jpg 	 3447584 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-054-tx049.jpg 	 3669152 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-048-tx043.jpg 	 3583413 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-044-tx039.jpg 	 3460485 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-060-tx055.jpg 	 3701030 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-053-tx048.jpg 	 3593045 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-056-tx051.jpg 	 3515718 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-071-tx066.jpg 	 3635815 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-024-tx019.jpg 	 3616742 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-051-tx046.jpg 	 3741025 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-003-tx000.jpg 	 2814260 	 4000000/10000 	 4000000/10000
/Volumes/PrangeAsset/assetstore2/GeneralBooks/Prange099-general//DS-0459/pgb-DS-0459xxxxx-074-en001.jpg 	 3148481 	 4000000/10000 	 4000000/10000
